code,nav,percentage,time,createtime
000968,1,0,2015-02-17 15:00:00,2020-01-16 14:29:53
000968,1.0123,1.23,2015-02-27 15:00:00,2020-01-16 14:29:53
000968,1.0426,2.99,2015-03-04 15:00:00,2020-01-16 14:29:53
000968,1.0426,0,2015-03-05 15:00:00,2020-01-16 14:29:53
000968,1.0183,-2.33,2015-03-06 15:00:00,2020-01-16 14:29:53
000968,1.0304,1.19,2015-03-09 15:00:00,2020-01-16 14:29:53
000968,1.0403,0.96,2015-03-10 15:00:00,2020-01-16 14:29:53
000968,1.0341,-0.6,2015-03-11 15:00:00,2020-01-16 14:29:53
000968,1.0334,-0.07,2015-03-12 15:00:00,2020-01-16 14:29:53
000968,1.046,1.22,2015-03-13 15:00:00,2020-01-16 14:29:53
000968,1.0813,3.37,2015-03-16 15:00:00,2020-01-16 14:29:53
000968,1.0818,0.05,2015-03-17 15:00:00,2020-01-16 14:29:53
000968,1.1098,2.59,2015-03-18 15:00:00,2020-01-16 14:29:53
000968,1.1066,-0.29,2015-03-19 15:00:00,2020-01-16 14:29:53
000968,1.1198,1.19,2015-03-20 15:00:00,2020-01-16 14:29:53
000968,1.1537,3.03,2015-03-23 15:00:00,2020-01-16 14:29:53
000968,1.1653,1.01,2015-03-24 15:00:00,2020-01-16 14:29:53
000968,1.1708,0.47,2015-03-25 15:00:00,2020-01-16 14:29:53
000968,1.1445,-2.25,2015-03-26 15:00:00,2020-01-16 14:29:53
000968,1.1519,0.65,2015-03-27 15:00:00,2020-01-16 14:29:53
000968,1.1566,0.41,2015-03-30 15:00:00,2020-01-16 14:29:53
000968,1.1584,0.16,2015-03-31 15:00:00,2020-01-16 14:29:53
000968,1.1789,1.77,2015-04-01 15:00:00,2020-01-16 14:29:53
000968,1.1923,1.14,2015-04-02 15:00:00,2020-01-16 14:29:53
000968,1.2043,1.01,2015-04-03 15:00:00,2020-01-16 14:29:53
000968,1.2251,1.73,2015-04-07 15:00:00,2020-01-16 14:29:53
000968,1.1985,-2.17,2015-04-08 15:00:00,2020-01-16 14:29:53
